id	generation	major_rev	owned_by_id	name	item_number	classification	description
C7F7F43D7CC148B6B8A2C3E204A6A631	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 1K	MP3121	Component	Resistor SMT 1K
C80FFD3CE7F24CB2B3A806EE5EA870EE	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Fan 24V 40x40x10 Hi Performance	MP2350	Component	
CD7EF2CB70DC4581B0065648B93D7A75	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 1K	MP3778	Component	1k ohm resistor 1206 SMT
CEA5CD3AA9134705A99AD1E3EAD607E8	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Inner Back Panel	MP2378	Component	
CEBFC57F9458406D985F44D544AA404F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 4.7K	MP3541	Component	Resistor SMT 4.7K 5% .06W
CECBF91D4B8641C5ABB40A85C9706C5A	1	A	DBA5D86402BF43D5976854B8B48FCDD1	8-Stage Register	MP3309	Component	8-Stage Shift and Store Register
CF708C83692C4113908F9EEC64BEAE59	4	C	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Thermal Barrier	MP1701	Component	
CFA387C8052C4864B4728BB5C35BA140	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Mean Well GS220A24 R7B Power Supply	MP2720	Component	
CFB85B57DE9A43CC9D9371B85C87E672	1	B	DBA5D86402BF43D5976854B8B48FCDD1	ABS Natural 1kg Spool 1.75mm	MP1532	Component	
D00163AB045542CD8F0360E72918000E	1	B	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Heatsink	MP1708	Component	
D1C5E05722444C3CBF5A698947DD27C5	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 5-16 in length .14in ID .25in OD	MP2667	Component	
8B80E55FF67C438BB4675FECB8C3A866	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Bar Mount	MP2589	Component	
D2A76DA5A5EA43BF95F3B83355B5BD04	5	A	DBA5D86402BF43D5976854B8B48FCDD1	MK8 Bar Mount	MP2590	Component	
D37883BCB6FD4DC6AE55F9D9F1CC2931	5	C	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Bottom Panel	MP2195	Component	
D430D15658914B9895E315610010D08C	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 2.21K	MP3034	Component	1/4W Thick film chip resistor
D76AEE4A292E470392583F4A3E2A5A69	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x6 Socket Cap Bolt	MP0370-002	Component	
D7AA1FEA74E24F45BE593416D955BD9F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3 Square Nut	MP2295	Component	
DA6A5821D7D043C48309566653A9C432	3	C	DBA5D86402BF43D5976854B8B48FCDD1	Stepper Motor NEMA17	MP1872	Component	
DAFB0854CF234025AF380D23CB603E42	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Support Blind Hole Mount	MP2728	Component	
DF0DA7125834435E9EA4D4FB72CD3BC4	3	B	DBA5D86402BF43D5976854B8B48FCDD1	Cover Front	MP2947	Component	
DFA1AB798029407EA24BB494F6B2321C	3	C	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Z Arm Lasercut Plate	MP2336	Component	
E19A6AADAC184E7EAFE52D563C561E0B	4	A	DBA5D86402BF43D5976854B8B48FCDD1	New Thing-O-Matic 2 Right Panel	MP2199-2	Component	
E21B5B09658C4FB28F184539F906BE7E	2	C	DBA5D86402BF43D5976854B8B48FCDD1	Cable Holder Adhesive Backed Self Closing	MP2580	Component	
E36D6A2C94564D1CA7E036DE3BF9C87F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Diode	MP3810	Component	PGB1 Series Halogen-Free / Lead-Free
